Equipo;Descripción;Barra;Celda;Fila;Resumen;Gabinete;FU1;FU2;FA1
NH20M101;"CALENTADOR DE AIRE REGENERATIVO ""B"" (CAR)";3 CC;10;A;380V - 3CC - 10A;HA11;Secc. - NH000 - 50A;Termica Unipolar C4;
NK40M101;CALDERA-VENTILADOR REFRIG. QUEMADORES;3 CC;10;B;380V - 3CC - 10B;HA14;Secc. - NH000 - 35A;Termica Unipolar C4;
RL11M102;CICLO TERMICO- PRELUBRICACION DE RL 11;3 CC;10;C;380V - 3CC - 10C;HA16;Secc. - NH000 - 35A;Termica Unipolar C4;
NW02M101;BOMBA N° 2 ACEITE DE LUBRICACION C.A.R;3 CC;10;D;380V - 3CC - 10D;HA11;Diazed DII E27 - X3;Termica Unipolar C6;
NK50M101;CALDERA-VENTILADOR REFRIG. QUEMADORES;3 CC;11;B;380V - 3CC - 11B;HA14;Secc. - NH000 - 35A;Termica Unipolar C4;
RL21M102;CICLO TERMICO- PRELUBRICACION DE RL 21;3 CC;11;C;380V - 3CC - 11C;HA16;Secc. - NH000 - 25A;Termica Unipolar C4;
BF1A-JE11;ALIMENTACION;3 DZ;2;A;380V -3DZ- 2A;;;;
BF1B-JE12;ALIMENTACION;3 DZ;2;B;380V -3DZ- 2B;;;;
BF2A-JE13;ALIMENTACION;3 DZ;2;C;380V -3DZ- 2C;;;;
BF2B-JE14;ANALIZADORES OXIGENO - POSICION VALV C.R;3 DZ;2;D;380V -3DZ- 2D;;;;
BF3A-JE15;ALIMENTACION;3 DZ;2;E;380V -3DZ- 2E;;;;
BE3B-JE16;ALIMENTACION;3 DZ;2;F;380V -3DZ- 2F;;;;
BF-GJG02;TABLERO BX (SISTEMA HIDROGENO);3 DZ;2;G;380V -3DZ- 2G;;;;
BF-GJG02;TABLERO BX (SISTEMA HIDROGENO);3 DZ;2;H;380V -3DZ- 2H;;;;
BA-GA;ALIMENTACION;3 DZ;2;J;380V -3DZ - 2J;;;;
BB1.3GB01;ALIMENTACION;3 DZ;2;K;380V -3DZ - 2K;;;;
BCA-GC01;ALIMENTACION;3 DZ;2;L;380V -3DZ - 2L;;;;
BCC-GC03;ALIMENTACION;3 DZ;2;M;380V -3DZ- 2M;;;;
BCE-GC05;ALIMENTACION;3 DZ;2;N;380V - 3DZ - 2N;;;;
BCH-GC07;ALIMENTACION;3 DZ;2;P;380V - 3DZ - 2P;;;;
BCK-GC09;ALIMENTACION;3 DZ;2;Q;380V - 3DZ - 2Q;;;;
BCL-GC11;ALIMENTACION;3 DZ;2;R;380V - 3DZ - 2R;;;;
BD-GE;ALIMENTACION;3 DZ;2;S;380V - 3DZ - 2S;;;;
BE1-GF;ALIMENTACION;3 DZ;2;T;380V -3DZ - 2T;;;;
CAJAALOX;ALIMENTACION DE PROTECCIONES ALOX;3 DZ;2;U;380V -3DZ - 2U;;;;
JC01EHS;ALIMENTACION SIST EHS;3 DZ;2;X;380V -3DZ - 2X;;;;
BEZ-GF;ALIMENTACION;3 DZ;3;A;380V -3DZ- 3A;;;;
BI;ALIMENTACION;3 DZ;3;B;380V -3DZ - 3B;;;;
OSC.GEN.;DETECTOR OSCILACIONES DEL GENERADOR;3 DZ;3;C;380V -3DZ- 3C;;;;
JC01;SISTEMA DE REGULACION DE TURBINA EHS;3 DZ;3;D;380V -3DZ- 3D;;;;
3DG;ALIMENT.COMANDO DE BARRA 3DG (SIST.INCENDIO);3 DZ;3;E;380V -3DZ- 3E;;;;
LS710;ANALIZADORES DE NOX;3 DZ;3;F;380V -3DZ- 3F;;;;
PE151;ALIMENTACION;3 DZ;3;G;380V -3DZ- 3G;;;;
RA05J001;BY-PASS DE ALTA PRESION (CONTRONIC);3 DZ;3;H;380V -3DZ- 3H;;;;
BWAGJ603;ALIMENTACION GABINETE BWA (SIST. HIDROGENO);3 DZ;3;J;380V -3DZ- 3J;;;;
HD06;ALIMENTACION GABINETE HD-06 MODIN;3 DZ;3;M;380V -3DZ- 3M;;;;
HA11-13;ALIMENTACION GABINETE HA11/12/13 ;3 DZ;3;N;380V -3DZ- 3N;;;;
HA14-16;ALIMENTACION GABINETE HA14/15/16 ;3 DZ;3;P;380V -3DZ- 3P;;;;
HA17-19;ALIMENTACION GABINETE HA17/18/19 ;3 DZ;3;Q;380V -3DZ- 3Q;;;;
HA20-22;ALIMENTACION GABINETE HA20/21/22 ;3 DZ;3;R;380V -3DZ- 3R;;;;
HA23-25;ALIMENTACION GABINETE HA23/24/25 ;3 DZ;3;S;380V -3DZ- 3S;;;;
BL36-JR36;ALIMENTACION;3 DZ;3;T;380V -3DZ- 3T;;;;
BT1-HJ01;ALIMENTACION;3 DZ;3;U;380V -3DZ - 3U;;;;
SIRENATG;ALIMENTACION SIRENA DE EMERGENCIA TG01;3 DZ;3;W;380V -3DZ - 3W;;;;
BL15-JR;ALIMENTACION;3 DZ;3;X;380V -3DZ - 3X;;;;
UPSEATON;ALIMENTACION UPS EATON DE GUE 13;3 DZ;3;Z;380V -3DZ - 3Z;;;;
BNA-BNB;ALIMENTACION;3 DZ;4;C;380V -3DZ - 4C;;;;
HB31-33;ALIMENTACION GABINETES HB 31/32/33;3 DZ;4;D;380V -3DZ - 4D;;;;
HB34-36;ALIMENTACION GABINETES HB 34/35/36;3 DZ;4;E;380V -3DZ - 4E;;;;
HB40-42;ALIMENTACION GABINETES HB 40/41/42;3 DZ;4;F;380V -3DZ - 4F;;;;
HB43-46;ALIMENTACION GABINETES HB 43/44/45/46;3 DZ;4;G;380V -3DZ - 4G;;;;
BG;ALIMENTACION;3 DZ;4;H;380V -3DZ - 4H;;;;
BQ1,2,3;ALIMENTACION GABINETES BQ 1/2/3;3 DZ;4;J;380V -3DZ - 4J;;;;
HF51-53;ALIMENTACION GABINTES HF 51/52/53;3 DZ;4;K;380V -3DZ - 4K;;;;
BRA-BRC;ALIMENTACION BR A/B/C;3 DZ;4;N;380V -3DZ - 4N;;;;
BRD-BRF;ALIMENTACION BR D/E/F;3 DZ;4;P;380V -3DZ - 4P;;;;
JC10;JV01 REGITROS PHILIPS;3 DZ;4;S;380V -3DZ - 4S;;;;
HB61;ALIMENTACION GABINETE HB 61;3 DZ;4;T;380V -3DZ - 4T;;;;
BU1-HS01;ALIMENTACION;3 DZ;4;U;380V -3DZ - 4U;;;;
UPSTG01;ALIMENTACION A UPS DE TG01;3 DZ;5;;380V -3DZ - 5;;;;
UPS;ALIMENTACION GRAL DESDE UPS DE GUE 13;3 DZ;5;A;220V -3DZ - 5A;;;;
BB1;ALIMENTACION;3 DZ;5;B;220V -3DZ - 5B;;;;
TOMAS;ALIMENTACION TOMAS DASOR-PC-PERISCOPIO;3 DZ;5;C;220V -3DZ - 5C;;;;
ADT;ALIMENTACION ;3 DZ;5;D;220V -3DZ - 5D;;;;
BL15U-PONDY;ALIMENTACION;3 DZ;5;E;380V -3DZ - 5E;;;;
DZM180;ALIMENTACION TABLERO BAJO DASOR;3 DZ;5;F;220V -3DZ - 5F;;;;
QUEMADORES;ALIMENTACION DURAG Q 1/2/3;3 DZ;5;G;220V -3DZ - 5G;;;;
QUEMADORES;ALIMENTACION DURAG Q 4/5/6;3 DZ;5;H;220V -3DZ - 5H;;;;
QUEMADORES;ALIMENTACION DURAG Q 7/8/9;3 DZ;5;J;220V -3DZ - 5J;;;;
BCB;INDICADORES DE LLAMA DE QUEMADORES;3 DZ;5;Q;380V -3DZ - 5Q;;;;
BL36;ALIMENTACION ;3 DZ;5;R;220V -3DZ - 5R;;;;
CRONOLOGICO;ALIMENTACION AL CRONOLOGICO DE EVENTOS;3 DZ;5;T;220V -3DZ - 5T;;;;
S.O.T.R;ALIMENTACION AL S.O.T.R;3 DZ;5;T1;220V -3DZ - 5 T1;;;;
RESERVA;TERMICA DE RESERVA;3 DZ;5;T2;220V -3DZ - 5 T2;;;;
CRONOLOGICO;ALIMENTACION AL CRONOLOGICO 62A-62B;3 DZ;5;T3;220V -3DZ - 5 T3;;;;
D.A.G;ALIMENTACION PANEL DE LLAVES DEL D.A.G;3 DZ;5;T4;220V -3DZ - 5 T4;;;;
YARWAY;SIST.YARWAY (NIVEL DE DOMO);3 DZ;5;T5;220V -3DZ - 5 T5;;;;
CALD.AUX;ALIMENTACION A PANEL CALDERA AUXILIAR;3 DZ;5;T6;220V -3DZ - 5 T6;;;;
PHILIPS;ALIMENTACION DE REGISTROS PHILIPS;3 DZ;5;T7;220V -3DZ - 5 T7;;;;
SMEC;ALIMENTACION A SIST. SMEC DE TG01;3 DZ;5;T8;220V -3DZ - 5 T8;;;;
RL50S101;CICLO- DESCARGA PPAL DE BOMBA RL 21;3 OCA;1;B;380V -3OCA-1B;HA15;;;
RL50S102;CICLO- BY-PASS DESC DE BOMBA RL 21;3 OCA;1;C;380V -3OCA-1C;HA15;;;
RL51S101;CICLO-RECIRCULACION DE BOMBA RL 21;3 OCA;1;D;380V -3OCA-1D;HA15;;;
RL52S101;CICLO-AGUA PARA ATEMPERACION RECALENTADO;3 OCA;1;E;380V -3OCA-1E;HA15;;;
RL21W001;CICLO- CALENTAMIENTO MOTOR RL 21;3 OCA;1;G;380V -3OCA-1G;HA15;;;
RL21W002;CICLO- CALENTAMIENTO MOTOR RL 21;3 OCA;1;H;380V -3OCA-1H;;;;
VG65S101;CICLO- AGUA REFRIGERACION MOTOR DE RL 21;3 OCA;1;J;380V -3OCA-1J;HA15;;;
VG60S101;CICLO- AGUA REFRIGERACION COJ RL 21;3 OCA;1;K;380V -3OCA-1K;HA15;;;
RV13S101;CICLO- AGUA DE SELLO DE RL 21;3 OCA;1;L;380V -3OCA-1L;HA15;;;
UH11M101;PLANTA PULIDO- BOMBA DE DOSIFICACION;3 OCA;2;A;380V -3OCA -2A;;;;
UH10M102;PLANTA PULIDO- BOMBA DE DOSIFICACION;3 OCA;2;B;380V -3OCA -2B;;;;
UH21M101;PLANTA PULIDO- BOMBA DE DOSIFICACION;3 OCA;2;C;380V -3OCA -2C;;;;
UH20M102;PLANTA PULIDO- BOMBA DE DOSIFICACION;3 OCA;2;D;380V -3OCA -2D;;;;
UH31M101;PLANTA PULIDO- BOMBA DE DOSIFICACION;3 OCA;2;E;380V -3OCA -2E;;;;
UH30M102;PLANTA PULIDO- BOMBA DE DOSIFICACION;3 OCA;2;G;380V -3OCA -2G;;;;
UH10J001;;3 OCA;2;M;380V -3OCA -2M;;;;
UH90M101;;3 OCA;3;A;380V -3OCA -3A;;;;
UH93M101;;3 OCA;3;B;380V -3OCA -3B;;;;
UH96M101;;3 OCA;3;C;380V -3OCA -3C;;;;
UH90M102;;3 OCA;3;D;380V -3OCA -3D;;;;
UH93M102;;3 OCA;3;E;380V -3OCA -3E;;;;
UH96M102;;3 OCA;3;G;380V -3OCA -3G;;;;
UH90J001;;3 OCA;3;L;380V -3OCA -3L;;;;
SC92J001;;3 OCA;4;A;380V -3OCA -4A;;;;
VC60J001;;3 OCA;4;B;380V -3OCA -4B;;;;
VC60J002;;3 OCA;4;C;380V -3OCA -4C;;;;
JE01;ASCAÑAS DE ESTACIONES REDUC VAPOR;3 OCA;4;F;380V -3OCA -4F;;;;
JE02;ASCAÑAS DE ESTACIONES REDUC VAPOR;3 OCA;4;G;380V -3OCA -4G;;;;
JE03;ASCAÑAS DE ESTACIONES REDUC VAPOR;3 OCA;4;H;380V -3OCA -4H;;;;
JE04;ASCAÑAS DE ESTACIONES REDUC VAPOR;3 OCA;4;J;380V -3OCA -4J;;;;
JE21;ASCAÑAS DE ESTACIONES REDUC VAPOR;3 OCA;4;K;380V -3OCA -4K;;;;
3DE;;3 OCA;4;W;380V -3OCA -4W;;;;
JO04;SOLENOIDES ;3 OCA;5;A;380V -3OCA -5A;;;;
JO23/24/26;SOLENOIDES ;3 OCA;5;B;380V -3OCA -5B;;;;
JO25/27/28/38;SOLENOIDES ;3 OCA;5;C;380V -3OCA -5C;;;;
JO29/33;SOLENOIDES ;3 OCA;5;D;380V -3OCA -5D;;;;
JO34/35/37/73;SOLENOIDES ;3 OCA;5;E;380V -3OCA -5E;;;;
JO72/71/39/36/74;SOLENOIDES ;3 OCA;5;F;380V -3OCA -5F;;;;
JO77/76/75;SOLENOIDES ;3 OCA;5;G;380V -3OCA -5G;;;;
JO30;SOLENOIDES ;3 OCA;5;H;380V -3OCA -5H;;;;
VG81S101;CALDERA-REFRIGERACION COMPRESOR DE AIRE;3 OCA;7;C;380V -3OCA -7C;HA23;;;
VG83S101;CALDERA-REFRIGERACION COMPRESOR DE AIRE;3 OCA;7;D;380V -3OCA -7D;HA23;;;
CECCATOD;ALIMENTACION COMPRESOR CECCATO D;3 OCA;8;A;380V -3OCA -8A;;;;
VG82S101;CALDERA-REFRIGERACION COMPRESOR DE AIRE;3 OCA;8;C;380V -3OCA -8C;HA23;;;
VG84S101;CALDERA-REFRIGERACION COMPRESOR DE AIRE;3 OCA;8;D;380V -3OCA -8D;HA23;;;
VL59S101;;3 OCA;8;E;380V -3OCA -8E;HA23;;;
JO21;SOLENOIDES ;3 OCA;9;A;380V -3OCA -9A;;;;
JO22;SOLENOIDES ;3 OCA;9;B;380V -3OCA -9B;;;;
JO23;SOLENOIDES ;3 OCA;9;C;380V -3OCA -9C;;;;
AGUA/TG01;BOMBA DE AGUA DESMI. TG 01;3 OCA;13;A;380V -3OCA -13A;;;;
NV05M101;CALDERA- SOPLADORES DE CALDERA;3 OCA;13;B;380V -3OCA -13B;;;;
NV01W001;CALDERA- SOPLADORES DE CALDERA;3 OCA;13;C;380V -3OCA -13C;;;;
RQ80S101;CALDERA- VAPOR P/SOPLADORES DE CALDERA;3 OCA;13;D;380V -3OCA -13D;;;;
3EN20;ELECTRICO-ALIM.CARGADOR BATERIA 220V C.C;3 OCA;14;A;380V -3OCA -14A;;;;
3EP40;ELECTRICO- ALIM. RECTIFICADOR 24V C.C;3 OCA;14;B;380V -3OCA -14B;;;;
3EP50;ELECTRICO- ALIM. RECTIFICADOR 24V C.C;3 OCA;14;C;380V -3OCA -14C;;;;
3EP60;ELECTRICO- ALIM. RECTIFICADOR 24V C.C;3 OCA;14;D;380V -3OCA -14D;;;;
3DZ;ELECTRICO- ALIMENTACION A BARRA 3DZ;3 OCA;14;F;380V -3OCA -14F;;;;
3EN02;ELECTRICO-ALIM.CARGADOR BATERIA 220V C.C;3 OCA;14;G;380V -3OCA -14G;;;;
UQ48M101;;3 OCA;15;A;380V -3OCA -15A;;;;
UQ50M101;;3 OCA;15;B;380V -3OCA -15B;;;;
ASCENSOR;CALDERA-MONTACARGA UQ60 U001;3 OCA;15;C;380V -3OCA -15C;;;;
3-ODA;ELECTRICO- ALIMENTACION;3 OCA;15;E;380V -3OCA -15E;;;;
3-ODB;ELECTRICO- ALIMENTACION;3 OCA;15;F;380V -3OCA -15F;;;;
3-ODC;ELECTRICO- ALIMENTACION;3 OCA;15;G;380V -3OCA -15G;;;;
JO41/2/3/4/5;SOLENOIDES  - Toma Corriente Caldera;3 OCA;17;A;380V -3OCA -17A;;;;
JO46/7/8/9/50;SOLENOIDES ;3 OCA;17;B;380V -3OCA -17B;;;;
JO51/2/3/4/5;SOLENOIDES ;3 OCA;17;C;380V -3OCA -17C;;;;
JO01;;3 OCA;17;D;380V -3OCA -17D;;;;
JO02;;3 OCA;17;E;380V -3OCA -17E;;;;
TG01;ALIMENTACION AUXILIAR BARRA 380V TG01;3 OCA;18;B;380V -3OCA -18B;;;;
A.A.EXCIT.;ALIMENTACION AIRE ACOND. SALA EXCITACIÓN;3 OCA;18;G;380V -3OCA -18G;;;;
3OAT02U901;ALIMENTACION;3 OCA;19;C;380V -3OCA -19C;;;;
JE17;ALIMENTACION ASCAÑA;3 OCA;19;D;380V -3OCA -19D;;;;
A.A.BAT;ALIMENTACION AIRE ACOND. SALA DE BATERIAS 2;3 OCA;19;;380V -3OCA ;;;;
RL68S101;CICLO TERMICO- DESPREZURACION BY--PASS C.A.P;3 OCA;25;A;380V -3CA -25A;;;;
3FA1;ELECTRICO- ALIMENTACION A 3FA1;3 OCN;2;;380V - 3 OCN - 02;;;;
3FA;ELECTRICO- ALIMENTACION A 3FA;3 OCN;2;;380V - 3 OCN - 02;;;;
3FB;ELECTRICO- ALIMENTACION A 3FA;3 OCN;2;;380V - 3 OCN - 02;;;;
SC24M101;ELECTRICO- ALIMEN. AUXILIAR PARA 3CC-03;3 OCN;3;;VINCULACION CON 3CC 03;HA18;;;
SU20M101;ELECTRICO- ALIMEN. AUXILIAR PARA 3CC-01;3 OCN;3;;VINCULACION CON 3CC 01;;;;
A.A.BAT;ALIMENTACION AIRE ACOND. SALA BATERIA 1 (220v);3 OCP;2;;380V -3 OCP - 02;;;;
A.A.BAT;ALIMENTACION AIRE ACOND. SALA BATERIA 2 (24-48v);3 OCP;2;;380V -3 OCP - 02;;;;
3FA;ELECTRICO- ALIMENTACION A 3FA;3 OCP;3;;380V - 3 OCP - 03;;;;
3FC;ELECTRICO- ALIMENTACION A 3FC;3 OCP;3;;380V - 3 OCP - 03;;;;
3FA02;ELECTRICO- ALIMENTACION A 3FA 02;3 OCP;3;;380V - 3 OCP - 03;;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
//;//;//;//;//;//;//;;;
