Equipo;Descripción;Barra;Celda;Fila;Resumen;Gabinete;FU1;FU2;FA1
SG11S101;CICLO- VAPOR SELLO AL CONDENSADOR;3 CA;10;B;380V -3CA -10B;HA19;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
SG20S101;CICLO- EXTRACC VAPOR SELLO A.P. ;3 CA;10;C;380V -3CA -10C;HA19;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
SG30S101;CICLO- SATURACION VAPOR SELLO DE B.P.;3 CA;10;D;380V -3CA -10D;HA19;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
SG01S101;CICLO- SATURACION VAPOR DE SELLO DE A.P.;3 CA;10;E;380V -3CA -10E;HA19;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
SG46S101;CICLO- BY-PASS DE VAPOR DEL C.V.E;3 CA;10;G;380V -3CA -10G;HA21;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
SG50S101;CICLO- SALIDA DE AIRE DESDE EL  C.V.E.;3 CA;10;H;380V -3CA -10H;HA21;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
SG40S101;CICLO- ENTRADA DE VAPOR  AL C.V.E;3 CA;10;J;380V -3CA -10J;HA21;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
RM33S101;CICLO- BY-PASS CONDENSADO DEL C.V.E;3 CA;10;K;380V -3CA -10K;HA21;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
RS30S101;CICLO- RECIRCULACION CONDENS AL TQ RESERVA;3 CA;10;L;380V -3CA -10L;HA19;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
RQ30S102;CALDERA- CALENT  ADICIONAL AL C.B.P N°4;3 CA;11;A;380V -3CA -11A;HA24;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
RH30S101;CICLO- 4° EXTRACCION AL C.B.P N°4;3 CA;11;B;380V -3CA -11B;HA24;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
RH20S101;CICLO- 3° EXTRACCION AL C.B.P N°3;3 CA;11;C;380V -3CA -11C;HA24;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
